CMDLINE /Users/zaksingh/cambridge/rejoice/venv/bin/python ./ppo.py
MEM 493.480469 1653602382.0039
MEM 493.480469 1653602382.1079
MEM 493.480469 1653602382.2121
MEM 493.480469 1653602382.3155
MEM 493.480469 1653602382.4201
MEM 493.480469 1653602382.5246
MEM 493.484375 1653602382.6257
MEM 493.488281 1653602382.7289
MEM 493.492188 1653602382.8340
MEM 493.507812 1653602382.9384
MEM 493.507812 1653602383.0428
MEM 493.562500 1653602383.1473
MEM 493.816406 1653602383.2515
MEM 494.078125 1653602383.3564
MEM 494.082031 1653602383.4608
MEM 495.574219 1653602383.5649
MEM 500.277344 1653602383.6699
MEM 499.148438 1653602383.7743
MEM 504.019531 1653602383.8784
MEM 518.824219 1653602383.9834
MEM 519.000000 1653602384.0874
MEM 504.117188 1653602384.1886
MEM 498.597656 1653602384.2938
MEM 500.527344 1653602384.3974
MEM 499.535156 1653602384.5013
MEM 506.464844 1653602384.6040
MEM 518.722656 1653602384.7084
MEM 518.808594 1653602384.8129
MEM 500.265625 1653602384.9179
MEM 500.050781 1653602385.0191
MEM 500.921875 1653602385.1211
MEM 505.902344 1653602385.2236
MEM 520.886719 1653602385.3239
MEM 510.796875 1653602385.4243
MEM 500.699219 1653602385.5273
MEM 498.710938 1653602385.6319
MEM 498.710938 1653602385.7365
MEM 498.710938 1653602385.8407
MEM 498.710938 1653602385.9449
MEM 498.710938 1653602386.0487
MEM 498.730469 1653602386.1521
MEM 498.730469 1653602386.2545
MEM 498.730469 1653602386.3589
MEM 498.757812 1653602386.4622
MEM 498.757812 1653602386.5662
MEM 498.757812 1653602386.6706
MEM 498.757812 1653602386.7751
MEM 498.757812 1653602386.8756
MEM 498.757812 1653602386.9789
MEM 498.757812 1653602387.0830
MEM 498.757812 1653602387.1833
MEM 498.757812 1653602387.2881
MEM 498.757812 1653602387.3928
MEM 498.757812 1653602387.4965
MEM 498.757812 1653602387.6014
MEM 498.757812 1653602387.7022
MEM 498.761719 1653602387.8064
MEM 498.761719 1653602387.9105
MEM 498.785156 1653602388.0116
MEM 498.824219 1653602388.1161
MEM 498.953125 1653602388.2208
MEM 499.535156 1653602388.3256
MEM 499.539062 1653602388.4301
MEM 501.621094 1653602388.5339
MEM 506.566406 1653602388.6390
MEM 511.175781 1653602388.7431
MEM 525.695312 1653602388.8434
MEM 524.289062 1653602388.9485
MEM 514.265625 1653602389.0534
MEM 507.015625 1653602389.1536
MEM 506.574219 1653602389.2555
MEM 512.085938 1653602389.3606
MEM 512.738281 1653602389.4611
MEM 506.613281 1653602389.5626
MEM 507.613281 1653602389.6661
MEM 509.714844 1653602389.7706
MEM 516.597656 1653602389.8755
MEM 527.148438 1653602389.9794
MEM 512.949219 1653602390.0840
MEM 507.234375 1653602390.1851
MEM 506.664062 1653602390.2862
MEM 512.015625 1653602390.3886
MEM 524.015625 1653602390.4935
MEM 506.742188 1653602390.5974
